# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\mario1.png	255	255	255
40	textures\enemies-2.png	0	128	128
50	textures\enemies-3.png	176	244	248
60	textures\BROWNCOIN.png	176	244	248
65	textures\endgame.png	176	224	248
66	textures\Font.png	176	224	248

# id	left	top	right	bottom	texture_id
[SPRITES]
1	0	0	8	8	66
27	72	19	80	26	66
28	1	27	6	34	66
29	9	27	17	34	66
30	18	27	26	34	66
31	27	27	35	34	66
32	36	27	44	34	66
33	45	27	53	34	66
34	54	27	62	34	66
35	63	27	71	34	66
36	72	27	80	34	66
#hình mxui tên stack speed
37	82	428	93	437	65
#mario start scene
38	284	280	293	289	20

# BIG MARIO 
# idle right
10001	246	154	260	181	0
# walk
10002	275	154	290	181	0		
10003	304	154	321	181	0
# jump
10004	394	275	410	302	0
# walk right turn left 
10005	4	154	19	181	0
# sit 
10006	423	238	439	258	0
#RUN MAXSPEED
10007	332	154	356	181	0
10008	361	154	382	181	0
10009	391	154	412	181	0
#FLY RIGHT
10400	394	194	415	223	0
#HOLD TURTLE IDLE
10405	245	355	262	382	0
#HOLD TUTLE WALK RIGHT
10406	275	313	292	342	0
10407	305	313	322	342	0
#KICK
10408	421	273	445	302	0
# idle left
10011	186	154	200	181	0
#walk
10012	155	154	170	181	0
10013	125	154	140	181	0
#jump
10014	34	275	50	302	0
# walk left turn right
10015	423	154	441	181	0
# sit
10016	4	238	20	258	0
#RUN MAXSPEED
10017	91	154	112	181	0
10018	61	154	84	181	0
10019	31	154	55	181	0
#FLY LEFT
10401	32	194	55	223	0
#HOLD TURTLE IDLE
10402	185	355	201	382	0
#HOLD TUTLE WALK LEFT
10403	155	314	171	342	0
10404	125	314	143	342	0
#KICK
10409	0	273	24	302	0
#mario start scene
10097	16	9	30	26	30
10098	16	49	30	66	30
#mario start scene big
10095	54	5	72	28	30
10096	54	45	72	68	30
#mario start scene tail
10093	94	5	112	29	30
10094	94	45	112	69	30
# die 
10099	215	120	231	135	0

# SMALL MARIO
# idle small right
10021	247	0	260	16	0
# walk
10022	275	0	291	16	0
10023	306	0	320	16	0
# jump
10024	395	80	410	107	0
# walk right turn left
10025	5	0	19	16	0
#FLY
10026	365	40	383	57	0
		
# idle small left
10031	187	0	198	16	0
# walk
10032	155	0	170	16	0
10033	125	0	139	16	0
# jump
10034	35	80	50	107	0
# walk left turn right
10035	424	0	439	16	0
#FLY
10036	34	39	52	58	0

# MARIO TAIL
# idle right
10041	212	443	234	471	30
# walk RIGHT
10042	262	443	285	471	30
10043	291	443	316	471	30
# jump
10044	330	443	356	470	30
# run fast
10045	331	634	358	663	0
10046	361	634	388	663	0
10047	391	634	418	663	0
#sit
10048	372	448	396	467	30
# walk right turn left
10049	214	482	233	511	30
#FALL RIGHT
10141	211	602	235	630	30
#FALL SLOW
10161	211	602	235	630	30
10162	291	442	315	471	30
10163	251	601	275	633	30
#fly right
10142	290	602	317	632	30
#attack
10143	233	443	262	473	30
10144	318	558	344	587	30
10145	210	558	246	587	30
10146	352	558	375	587	30		
10147	233	443	262	473	30
#RUN MAXSPEED
10148	211	523	236	552	30
10149	251	523	276	552	30
10150	291	523	316	552	30
# idle left
10051	173	443	195	472	30
# walk
10052	121	443	145	472	30
10053	92	443	115	472	30
# jump
10054	52	443	76	472	30
#sit
10058	12	448	35	467	30
#walk left turn right
10059	175	482	192	511	30
#FALL LEFT
10151	170	602	196	630	30
#fly left
10152	90	602	115	632	30
#attack
10153	210	558	246	587	30
10154	318	558	344	587	30
10155	233	443	262	473	30
10156	0	482	18	513	30
10157	210	558	246	587	30
#RUN MAXSPEED
10158	171	523	197	552	30
10159	131	523	156	552	30
10160	91	523	117	552	30
#FALL SLOW
10164	171	602	196	630	30
10165	91	443	116	472	30
10166	131	601	156	633	30
#FALL IN FLY RIGHT
10167	330	603	356	631	30
#FALL IN FLY LEFT
10168	51	603	76	631	30
#GO IN PIPE
10169	35	483	52	512	30


# MARIO WHITE 
# idle right
10201	246	393	260	422	0
# walk
10202	275	393	290	422	0		
10203	304	393	321	422	0
# jump
10204	394	515	410	544	0
# walk right turn left 
10205	4	393	19	422	0
# sit 
10206	425	478	439	498	0
#RUN MAXSPEED
10207	332	393	356	422	0
10208	361	393	382	422	0
10209	391	393	412	422	0
#SHOOT FIRE
10210	246	393	260	422	0
10211	366	473	380	502	0
10212	396	473	410	502	0
#FLY RIGHT
10213	394	434	416	462	0
#KICK
10214	421	513	445	542	0
# idle left
10301	186	393	200	422	0
#walk
10302	155	393	170	422	0
10303	125	393	140	422	0
#jump
10304	34	515	50	544	0
# walk left turn right
10305	423	393	441	422	0
# sit
10306	4	478	20	498	0
#RUN MAXSPEED
10307	91	393	112	422	0
10308	61	393	84	422	0
10309	31	393	55	422	0
#SHOOT FIRE
10310	186	393	200	422	0	
10311	66	473	81	502	0
10312	36	473	51	502	0
#FLY LEFT
10313	31	434	53	462	0
#KICK
10314	0	512	24	542	0

#BRICK
20001	408	225	424	241	20

#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#REDGOOMBA
#có cánh
#thu cánh trái trên phải dưới
30010	87	11	108	31	10
#thu cánh trái dưới phải trên 
30011	181	11	202	31	10
#tung cánh trái dưới phải trên 
30012	110	6	130	31	10
#tung cánh trái trên phải dưới
30013	134	6	155	31	10
#không cánh
30014	297	125	314	141	10
30015	317	125	334	142	10
#chết ngửa
30016	336	125	355	143	10
#chết đứng
30017	135	46	152	56	10

#====TURTLE=====#
#WALKING
30020	136	577	152	600	50
30021	152	577	168	600	50
#attack
30022	104	577	120	600	50
30023	121	577	136	600	50

#brick with question mark animation
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	371	133	20
40005	372	117	388	133	20
#brick with shinning animation
40020	300	135	317	152	20	
40021	318	135	335	152	20
40022	336	135	353	152	20
40023	354	135	371	152	20
40024	373	136	389	152	20

#----------UPDOWNWOOD--------------######
40025	352	167	401	184	60



#-----------FIRE-----------------#######
50001	239	554	251	564	0
50002	258	554	268	564	0
50003	258	574	268	586	0
50004	239	574	251	586	0

#KOOPAS GREEN
#walk left
50005	205	191	221	217	40
50006	222	191	238	217	40
#walk right
50007	187	191	202	217	40
50008	170	191	185	217	40
#defend
50009	239	203	256	219	40
#attack
50010	256	203	273	219	40
50011	273	203	290	219	40
50012	290	203	308	219	40
#die
50013	152	202	168	217	40
#die attack
50014	137	48	155	66	40
50015	155	48	172	66	40
50016	172	48	190	66	40


